DEALER_ID,Dealer_Name,Dealer_Brand,Dealer_Address,Dealer_Pincode,Dealer_City,Dealer_State,Dealer_Category_Level_3,FOS_Code,FOS_Name
490527,Jay Ganesh Car Accessories,Jay Ganesh Car Accessories,Gat No 813 Raiwade Road At Post Kadam Wark Basti Solapur 412308 Gat No 813 Raiwade Road At Post Kadam Wark Basti Solapur 412308  Pune Maharashtra,412308.0,Pune,Maharashtra,Car Accessories / Auto Ancillaries,90041413,Vijay Kumar
60049137,Car Craze Accessoriesnaedc,Car Craze Accessoriesnaedc,Shop Noab La Foyer La Foyer Near Hillgreen School Near Hillgreen School Undri Pune Pune Maharashtra  Pune Maharashtra,411060.0,Pune,Maharashtra,Car Accessories / Auto Ancillaries,90041413,Vijay Kumar
972372,Puma Sports India Pvt Ltd,Puma,Store No Wb Gf 03 Gf West Block Amanora Mall Amanora Park Township Village Sadesatranali Hadapsar  Pune Maharashtra,411028.0,Pune,Maharashtra,Footwear,90041413,Vijay Kumar
60028749,Zenith Enterprisesnapm,Zenith Enterprisesnapm,Swapnanagari Flat Noa3 101 Ground Floor Mainkbaug Anandnagar Vadgaon Bk Maharashtra  Pune Maharashtra,411051.0,Pune,Maharashtra,Power Backup,90041722,Shubham Uttamrao Sunewad
255266,Puma Sports India Private Limited ,Puma,Puma Store House No 28 Gr Flr M G Road Pune  Pune Maharashtra,411011.0,Pune,Maharashtra,Footwear,90049256,Sarang Awate
1010058,Pundole Eyeworks M G Road,Pundole Eyeworks M G Road,75 M G ROAD CAMP PUNE MAHARASHTRA  PUNE MAHARASHTRA,411001.0,Pune,Maharashtra,Others,90049256,Sarang Awate
60085403,Jai Ganesh Wheel Care,Jai Ganesh Wheel Care,Shop No 2 Anant Building Telekar Nagar Near Shre Ram Statue  Pune Maharashtra,411048.0,Pune,Maharashtra,Tyres,90049256,Sarang Awate
60075338,Sai Car Decor,Sai Car Decor,Shop 04 Ankur Park 2 Mukund Nagar  Pune Maharashtra,411037.0,Pune,Maharashtra,Car Accessories / Auto Ancillaries,90049256,Sarang Awate
212804,Ram Agencies ,Ram Agenices,Shop No 6 Shantanand Complex Near Pmt Depot Hadapsar Pmt Depot  Pune Maharashtra,411028.0,Pune,Maharashtra,Cycles,90041413,Vijay Kumar
897505,Sanman Motors,Sanman Motors,Office No 1 Kanchan Nagri Katraj Pune Pune  Pune Maharashtra,411046.0,Pune,Maharashtra,Car Accessories / Auto Ancillaries,90041722,Shubham Uttamrao Sunewad
736622,R K Agencies,R K Agencies,Ground Floor Shop No 6 Bhelke Residency Bhelke Nagar Kothrud Pune Maharashtra  Pune Maharashtra,411038.0,Pune,Maharashtra,Car Accessories / Auto Ancillaries,90043471,Tejas Anil Kumbhar
452287,Tyre Master,Tyre Master,Flat No 302 S No 51 2 B Wing A Amar Residency Near Ded College Kondhava Pune Flat No 302 S No 51 2 B Wing A Amar Residency Near Ded College Kondhava Pune  Pune Maharashtra,411048.0,Pune,Maharashtra,Tyres,90049256,Sarang Awate
60022503,Excellence Tyresnaedc,Excellence Tyresnaedc,House No 2693 Shop No 12 Varad Laxmi Nivas Paud Road Opp Daulat Dhaba Tal Mulshi Bhugaon Pune Maharashtra  Pune Maharashtra,412115.0,Pune,Maharashtra,Tyres,90043471,Tejas Anil Kumbhar
671918,Colors Opticians,Colors Opticians,1400 Shreee Ganesh Kunj S No 1 Sadashiv Peth Pune Pune  Pune Maharashtra,411030.0,Pune,Maharashtra,Eyewear,90049256,Sarang Awate
335802,Jade Blue Lifestyle India Ltd ,Jade Blue,Nucleus Mall Opp Gpo Church Road Camp  Pune Maharashtra,411001.0,Pune,Maharashtra,Apparels,90049256,Sarang Awate
845585,Samarth Tyre,Samarth Tyre,Gat No 937 1 Kanjir Wadi Near Kale Auto Corner Pune Pune  Pune Maharashtra,412201.0,Pune,Maharashtra,Tyres,90041413,Vijay Kumar
60035985,Shree Krishna Agenciesnaedc,Shree Krishna Agenciesnaedc,S No 211 Shop Numbar 8 Sidhi Complex Bhekrai Nagar Fursungi Pune Maharashtra  Pune Maharashtra,412308.0,Pune,Maharashtra,Cycles,90041413,Vijay Kumar
648817,Krishna Times,Titan,Upper Ground Floor Sr No 26 Shop No B 02 Savitri Shoping Complex Kale Colony Sasanenagar Upper Ground Floor Sr No 26 Shop No B 02 Savitri Shoping Complex Kale Colony Sasanenagar  Pune Maharashtra,411028.0,Pune,Maharashtra,Watches,90041413,Vijay Kumar
60007489,Nk Batteriesnapm,Nk Batteriesnapm,Jannat Palace Shop No 1 B Wing Ground Floor N A 892B Kasba Peth Maharashtra  Pune Maharashtra,411011.0,Pune,Maharashtra,Power Backup,90049256,Sarang Awate
265226,Aditya Birla Fashion & Retail Limited  ,Pantaloons,Pantaloons Woman Shop No 1 S98 Hissa 1 7 Plot No 5 Paud Road Pune Maharashtra 411035 Pune  Pune Maharashtra,411035.0,Pune,Maharashtra,LFR,90043471,Tejas Anil Kumbhar
604859,Hype Casual Wear,Hype Casual Wear,1539 Shop No 5 Nera Maharashtra Mandal Tilak Road Sadashiv Peth 1539 Shop No 5 Nera Maharashtra Mandal Tilak Road Sadashiv Peth  Pune Maharashtra,411030.0,Pune,Maharashtra,Apparels,90049256,Sarang Awate
